"","COSECHA","SITUACION_AMORTIZACION","REGIMEN","IN_CEDIDA","N","SALDO_TOTAL","EPRC_TOTAL","EPRE_TOTAL","RKP_TOTAL","COBERTURA_CEK"
"198",2001,"E. Amortización plena","REA","Bursatilizada",24,2292497.83418143,149960.805019438,44913.31978,192292.6092257,16.8884231100433
"199",2001,"E. Amortización plena","REA","Propia",254,48076059.6423484,8423316.8,892836.33,3584480.75,26.8338003904053
"200",2001,"E. Amortización plena","ROA","Bursatilizada",5658,637717370.983332,30514812.8575538,3088642.8283894,57976735.0298743,14.3606235117298
"201",2001,"E. Amortización plena","ROA","Propia",3365,438396576.172929,28632900.7,9063497.77,38627577.44,17.4098020053636
"202",2002,"A. Segregada","REA","Bursatilizada",305,150759558.328619,0,0,0,0
"203",2002,"A. Segregada","ROA","Bursatilizada",3,1188192.07816582,0,0,0,0
"204",2002,"B. Sin pago","REA","Bursatilizada",96,19163607.4032519,7414693.718721,0.012284557,537444.2635367,41.4960389618129
"205",2002,"B. Sin pago","REA","Propia",240,90157071.7327989,39668584.8,18.78,1570748.11,45.741671615314
"206",2002,"B. Sin pago","ROA","Bursatilizada",30,4364470.43919624,1430627.605192,152.854186,174023.066709,36.7697192235432
"207",2002,"B. Sin pago","ROA","Propia",27,4529543.22495737,1676351.33,0,143803.72,40.1840750734227
"208",2002,"C. Pago insuficiente","REA","Bursatilizada",6,1472345.96247547,336144.701676,129513.4664,57265.835814,35.5163811507183
"209",2002,"C. Pago insuficiente","REA","Propia",37,17800646.2045662,4972649.78,5373880.01,964541.49,63.5430374269139
"210",2002,"C. Pago insuficiente","ROA","Bursatilizada",13,5754890.35528203,896442.1804,1593878.5449,375341.045511,49.7952453287107
"211",2002,"C. Pago insuficiente","ROA","Propia",180,76186599.1172781,10235926.43,28838216.75,5127618.96,58.0177651347291
"212",2002,"D. Amortización parcial","REA","Bursatilizada",3,775224.17658031,215341.647671,110204.8854,45822.25789,47.9046967548396
"213",2002,"D. Amortización parcial","REA","Propia",78,27035246.090992,3156213.03,4974930.59,1861873.34,36.9629221290116
"214",2002,"D. Amortización parcial","ROA","Bursatilizada",67,20162497.8225887,1328620.151048,3367156.94845,1520887.385793,30.8328092084219
"215",2002,"D. Amortización parcial","ROA","Propia",247,78347265.3322101,5352290.74,16901892.52,6055761.21,36.1339280317691
"216",2002,"E. Amortización plena","REA","Bursatilizada",56,8134088.15686124,1205333.7394941,185117.43742,565747.153436,24.0493868842571
"217",2002,"E. Amortización plena","REA","Propia",165,36444310.4575651,4676769.23,987407.86,2550377.78,22.5400200109831
"218",2002,"E. Amortización plena","ROA","Bursatilizada",4600,527981563.881762,21711886.8943011,2295659.503365,44396602.6582296,12.9557836362662
"219",2002,"E. Amortización plena","ROA","Propia",1518,214038088.093701,14773086.55,4180161.19,17681906.82,17.1161847343553
"220",2003,"A. Segregada","REA","Bursatilizada",1532,795868430.378312,0,0,0,0
"221",2003,"A. Segregada","ROA","Bursatilizada",15,6215179.62291634,0,0,0,0
"222",2003,"B. Sin pago","REA","Bursatilizada",652,146176611.25814,57173825.9140017,163450.457847817,4342264.74695526,42.195218912198
"223",2003,"B. Sin pago","REA","Propia",1276,510116682.371885,224764008.43,171138.61,9366780.92,45.9310459855123
"224",2003,"B. Sin pago","ROA","Bursatilizada",206,33889257.2118466,11698604.1290268,900.159126061,1378304.83393086,38.5898370103908
"225",2003,"B. Sin pago","ROA","Propia",115,28426331.9434371,10818264.58,16541.97,783171.89,40.8704804514263
"226",2003,"C. Pago insuficiente","REA","Bursatilizada",25,7948880.83439081,2247807.431449,1594295.85779,389666.273396,53.2373003294534
"227",2003,"C. Pago insuficiente","REA","Propia",206,99058742.42659,29014489.65,24197291.67,5157196.03,58.9236001994027
"228",2003,"C. Pago insuficiente","ROA","Bursatilizada",133,55697028.7387016,6739078.631184,19541745.8471808,3110290.81003,52.7696287467703
"229",2003,"C. Pago insuficiente","ROA","Propia",1033,507487331.86708,53668455.69,198901447.39,36038187.45,56.8700088469581
"230",2003,"D. Amortización parcial","REA","Bursatilizada",34,9635370.4793062,1646805.124427,2056147.30427,519189.880755,43.8192005021484
"231",2003,"D. Amortización parcial","REA","Propia",501,181595574.142283,20937107.92,22675444.75,12601345.75,30.9555443107637
"232",2003,"D. Amortización parcial","ROA","Bursatilizada",618,213189214.146749,12545153.588476,34079613.9780247,14990951.631124,28.9018932989787
"233",2003,"D. Amortización parcial","ROA","Propia",1455,509340432.718058,29603242.14,102006413.46,40072183.4,33.7066975193453
"234",2003,"E. Amortización plena","REA","Bursatilizada",407,67630615.4351016,10669203.099009,1537905.29157,4166891.86189029,24.2109289515216
"235",2003,"E. Amortización plena","REA","Propia",823,191191233.038761,23636972.22,3743588.17,13058012.63,21.1508511019444
"236",2003,"E. Amortización plena","ROA","Bursatilizada",29086,3719643082.96752,176163031.33695,11217739.2431307,296704743.089967,13.014300105478
"237",2003,"E. Amortización plena","ROA","Propia",7612,1143397089.49673,65659684.65,8411736.23,93481827.72,14.6539859283487
"238",2004,"A. Segregada","REA","Bursatilizada",813,427270967.309463,0,0,0,0
"239",2004,"A. Segregada","ROA","Bursatilizada",8,3107311.68550666,0,0,0,0
"240",2004,"B. Sin pago","REA","Bursatilizada",554,153795879.493963,63357352.3385065,94465.084583951,4351936.87372922,44.0868471378528
"241",2004,"B. Sin pago","REA","Propia",852,364185559.254242,166351626.99,148026.61,6572827.08,47.5231585333608
"242",2004,"B. Sin pago","ROA","Bursatilizada",152,28777948.2397686,9533844.5899857,9867.928707,1107109.64328695,37.0103597144606
"243",2004,"B. Sin pago","ROA","Propia",71,19697471.6575889,8009979.17,2394.65,510930.2,43.2710561444885
"244",2004,"C. Pago insuficiente","REA","Bursatilizada",41,15275274.1851494,4785003.806999,3516146.50976,656865.986597,58.6438985957122
"245",2004,"C. Pago insuficiente","REA","Propia",151,80631458.2795179,20713561.01,23352939.57,4282291.45,59.9626908177619
"246",2004,"C. Pago insuficiente","ROA","Bursatilizada",163,69286030.2105179,9224405.428403,21606764.09927,4020829.898928,50.3016254802116
"247",2004,"C. Pago insuficiente","ROA","Propia",782,411792376.988769,39267104.47,163669578.75,30149528.09,56.6028475355573
